id,school,professor,course,rating,review
23,강대,서충원,부동산개발기획론,5,교수님 성격 좋으시고 수업중 인생에 도움될 말씀 많이 해주심 팀플 할 때 조언도 해주시고 항상 학생들 챙기시는게 눈에 보임 수업할 때 호응 잘 해주면 매우 수업하기 좋아하심
24,강대,방명하,경영의사결정게임,5,아 재미있어 아 시험도 쉬워 너무조아~~ 추천추천추천
25,강대,유호림,회계원론,2,내가 인생설계란 강의를 들으며 보조적으로 회계지식을 습득하는 듯한 느낌
26,강대,박혁서,부동산관리론,3,교수님은 정말좋으신분입니다 하지만 시험 범위가 넓고 안나올것같은곳에서도 출제하십니다
27,강대,김승권,e-비즈니스,3,쓰래기수업. 팀플 발표시키는데 일주일안에 피피티고 조사고 가게 사장님들이랑 사진찍고 보고거써서 발표까지시키고 그거 두번시킴 그리고 1등만 인센티브줌 시험 올서술형 에다가 강의내용 피피티 걍 낭독수준 근데 발음도 안좋아서 잘 들리지도않음 출석 안하고 피피티만 봐도 시험잘봄 그만큼 쓸때없는강의 돈주고듣기 너무아깝고 시간만낭비함 학생들한테 배려가없음
28,강대,이여봉,대학생의인생설계,5,출결 진짜 빡쎔..한번이라도 빠지면 f고 아파서 못나오는거면 한번정도 봐주신다 해씀 진단서 떼오고 전날에 문자든 뭐든 말해야한다고 했던거 같음 조모임 거의 매주 있다고 보면됨.. 어쩌다 한두번은 없고 진짜 거의 매주 조모임...어색쓰....수업끝나고 강의들은거 느낀점이나 요약해서 쓰는거있는데 꽉꽉채워쓰라고 오티때 말씀해주심 나는 피피티 요약해서 냈음시험이 있긴한데 부담스럽지 않음 3학점인대 패스패일이면 이정도는 감수해야한다고 생각함
29,강대,홍승연,인성과학문II,3,교수님이 최고야 면담 잘해주심 그리고 과제양식 잘 올려주심 ㅎㅎ
30,강대,임정원,복지와테크놀로지,3,복지와 테크놀로지 교수님 퀴즈도 쉽게 내주심 그리고 시험에 나올거 같으면 알려주심
31,강대,윤승태,채플(이웃사랑)II,2,채플 들을때마다 지루해요 강당에 1시간 앉아 있는데 불편합니다
32,강대,신인섭,인공지능과인간존중,2,"교수님 세분이서 수업하심. 4주마다 한분씩 돌아감.공학, 철학, 법학 중간고사 공학, 철학(2주차) 기말고사 철학(2주차), 법학 인줄 알았는데, 보강날 공학도 봄^^ 총 시험 횟수 3번 . 이었음공학 : FM 교수님으로 유명철학 : 수업도중 화장실 금지. 쉬는시간 몇초 늦어도 문잠굼, 폰,노트북 사용 싫어함 밥학 : 재밌음. 제일 유익함.최신 인공지능 생각하고 수강신청한다면 하지말길.90년대를 벗어나지 못하는 내용의 인공지능 수업.다양한 학과에서 오는거에 비해서 수업 난이도나 내용 조절 실패특히 공학. 공학과 입장에서 들어도 컴공 전공에서 배우는 인공지능 수업이 더 알아듣기 쉬웠음.시험은 난이도 높지않음. 진짜 몇번 읽기만 해도 적을 수 있을 정도."
33,강대,조숙현,경영정보의이해,3,1번의 주제선정 발표(5분짜리)와 1번의 본 발표(20분짜리)가 있어요 걍 팀운 좃망겜입니다 나가리 하세요. 조는 랜덤으로 짜줍니다. 기말고사 끝나고 팀원 리폿할 수 있는 기회 줍니다. 글고 발표하고나서 교수님이 질문 많이해요 숙지 잘 하시길
34,강대,오세진,품질경영,2,뒈질거같아요 시험범위 보면 내가 이번 학기 30학점 듣는건가? 싶을 정도로 존나 많아요 교수님한테 저 문맹이라 글을 못읽어요 하고 편하게 D 받고싶어요
35,강대,SWANSONTODDALLEN,AcademicEnglishII(upperintermediate),3,짱냔이 녀뮤 씜해 .. 째밌꼐 할렦꼬 핚는껀 알겧늫뎋 일찎 꿑내고 일찎 뾰냬쮸면 뙤는껄 먷냘 쨩냔치몀쎠 씨꺈 찔찔 끌엏.. 쓕쩨도 쩎은꺼깥은테 썡꺅해뽀면 쬰냐마나
36,강대,정진용,경제학원론I,5,학점 잘 받고 싶으면 이교수님거 들으셈 ㄹㅇ 갓교수님 경제학에대해 심도있게 배우고 싶으면 이교수님 추천 그냥 수업만 잘 들었더니 성적 잘나옴ㅋㅎㅋㅎ
37,강대,박일렬,경제학원론I,5,공부안해서 걱정했었는데 비쁠나와서 진심 놀랐던 과목.. 진심 이교수님거 들어여 제발
